Distance,Base Angle,Movement,Sentence
Close,Front,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,YES,"Dans cette pièce, il y a : au sol : un tapis ; à droite : un miroir ; au plafond : un ventilateur ; à gauche : une commode."
Close,Front,YES,"Dans cette pièce, il y a : à gauche : un miroir ; au plafond : un luminaire ; au sol : un tapis ; à droite : une armoire."
Close,Front,YES,"Dans cette pièce, il y a : au sol : un tapis ; à droite : un miroir ; au plafond : un ventilateur ; à gauche : une commode."
Close,Front,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Close,Front,NO,"Oui, j'ai déjà vu Fargo, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Dans cette pièce, il y a : au sol : un tapis ; à droite : un miroir ; au plafond : un ventilateur ; à gauche : une commode."
Close,Front,NO,"Dans cette pièce, il y a : à gauche : un miroir ; au plafond : un luminaire ; au sol : un tapis ; à droite : une armoire."
Close,Front,NO,"Oui, j'ai déjà vu Fargo, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Close,Front,NO,"Dans cette pièce, il y a : au sol : un tapis ; à droite : un miroir ; au plafond : un ventilateur ; à gauche : une commode."
Close,Front,NO,"Oui, j'ai déjà vu Fargo, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : un tapis ; à gauche : une commode ; à droite : une armoire."
Close,Front,YES,"Oui, j'ai déjà vu Fargo, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Dans cette pièce, il y a : à gauche : un miroir ; au plafond : un luminaire ; au sol : un tapis ; à droite : une armoire."
Close,Front,NO,"Dans cette pièce, il y a : au sol : un tapis ; à droite : un miroir ; au plafond : un ventilateur ; à gauche : une commode."
Close,Front,YES,"Oui, j'ai déjà vu Fargo, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Close,Front,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : un tapis ; à gauche : une commode ; à droite : une armoire."
Close,Front,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : un tapis ; à gauche : une commode ; à droite : une armoire."
Close,Front,YES,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Close,Front,YES,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Close,Front,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : un tapis ; à gauche : une commode ; à droite : une armoire."
Close,Front,YES,"Dans cette pièce, il y a : à gauche : un miroir ; au plafond : un luminaire ; au sol : un tapis ; à droite : une armoire."
Close,Front,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : un tapis ; à gauche : une commode ; à droite : une armoire."
Close,Front,NO,"Dans cette pièce, il y a : à gauche : un miroir ; au plafond : un luminaire ; au sol : un tapis ; à droite : une armoire."
Close,Front,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : un tapis ; à gauche : une commode ; à droite : une armoire."
Close,Front,YES,"Dans cette pièce, il y a : au sol : un tapis ; à droite : un miroir ; au plafond : un ventilateur ; à gauche : une commode."
Close,Front,YES,"Oui, j'ai déjà vu Fargo, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,YES,"Dans cette pièce, il y a : à gauche : un miroir ; au plafond : un luminaire ; au sol : un tapis ; à droite : une armoire."
Close,Front,YES,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Close,Side,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; au sol : du carrelage ; à gauche : un lit."
Close,Side,NO,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : une armoire ; à droite : une commode."
Close,Side,NO,"Dans cette pièce, il y a : à droite : un lit ; au plafond : un luminaire ; au sol : du parquet ; à gauche : une armoire."
Close,Side,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Fargo."
Close,Side,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; au sol : du carrelage ; à gauche : un lit."
Close,Side,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Fargo."
Close,Side,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Side,NO,"Dans cette pièce, il y a : à droite : un lit ; au plafond : un luminaire ; au sol : du parquet ; à gauche : une armoire."
